54964.512904	1.000827
54964.533339	1.000482
54964.553774	0.999839
54964.574208	0.999877
54964.594642	1.000550
54964.615077	0.999290
54964.635511	1.000274
54964.655946	0.999723
54964.676381	0.999654
54964.696815	0.999881
54964.717250	0.998854
54964.737684	1.000517
54964.758119	0.998460
54964.778553	1.000283
54964.798988	0.998893
54964.819422	0.999752
54964.839857	0.993710
54964.860291	0.965513
54964.880726	0.919093
54964.901160	0.861420
54964.921595	0.797974
54964.942029	0.732193
54964.962464	0.676119
54964.982898	0.655722
54965.003333	0.657343
54965.023767	0.691046
54965.044202	0.751353
54965.064636	0.817808
54965.085071	0.879150
54965.105505	0.935319
54965.125940	0.975802
54965.146374	0.997464
54965.166809	0.999995
54965.187243	0.998771
54965.207678	0.999863
54965.228112	0.999657
54965.248547	0.999311
54965.268981	0.999658
54965.289416	1.000333
54965.309850	0.998735
54965.330285	1.000358
54965.350719	0.999641
54965.371154	0.999476
54965.391588	1.000579
54965.412023	1.000134
54965.432457	0.999910
54965.452892	1.000822
54965.473326	1.000494
54965.493761	1.000322
54965.514195	1.000871
54965.534630	1.000933
54965.555064	1.000509
54965.575499	1.001785
54965.595933	1.000717
54965.616368	1.001553
54965.636802	1.001748
54965.657237	1.000971
54965.677671	1.001731
54965.698106	1.002330
54965.718540	1.000758
54965.738975	1.002334
54965.759409	1.002216
54965.779844	1.001416
54965.800278	1.002340
54965.820713	1.002142
54965.841147	1.001268
54965.861582	1.003068
54965.882016	1.001361
54965.902451	1.002324
54965.922885	1.002703
54965.943320	1.001444
54965.963754	1.003089
54965.984189	1.001883
54966.004623	1.001872
54966.025058	1.002959
54966.045492	1.001734
54966.065927	1.002189
54966.086361	1.002483
54966.106796	1.001910
54966.127230	1.001587
54966.147665	1.003206
54966.168099	1.000898
54966.188534	1.002593
54966.208968	1.001958
54966.229403	1.001102
54966.249837	1.002376
54966.270272	1.001352
54966.290706	1.001103
54966.311141	1.002465
54966.331575	1.000455
54966.352010	1.001434
54966.372444	1.001222
54966.392879	1.000728
54966.413313	1.000661
54966.433748	1.000758
54966.454182	1.000129
54966.474617	1.000400
54966.495051	1.000178
54966.515486	0.999669
54966.535920	1.000366
54966.556355	0.999133
54966.576789	1.000205
54966.597224	0.998903
54966.617658	1.000000
54966.638093	0.998525
54966.658527	0.999467
54966.678962	0.998975
54966.699396	0.998628
54966.719831	0.998792
54966.740265	0.999418
54966.760700	0.997540
54966.781134	0.999506
54966.801569	0.997793
54966.822003	0.998580
54966.842438	0.998200
54966.862872	0.997951
54966.883307	0.998080
54966.903741	0.998045
54966.924176	0.997810
54966.944610	0.997328
54966.965045	0.980158
54966.985479	0.934927
54967.005914	0.871352
54967.026348	0.793970
54967.046783	0.709066
54967.067217	0.620904
54967.087652	0.547338
